r1,r2,r3,r4,r5,d1,d2,d3,d4,d5,radiant_win,start_time
113,43,57,16,87,35,63,69,28,86,False,1510664310
17,77,60,7,3,49,81,69,51,68,False,1510517381
72,17,13,60,31,9,54,16,50,28,True,1510779631
35,19,108,100,66,94,15,29,27,107,False,1513184293
114,36,5,14,3,23,48,69,21,112,True,1531250307
48,19,88,112,16,94,13,81,68,60,False,1513274439
39,42,78,88,92,72,17,69,112,51,False,1510672584
34,19,102,112,107,48,76,29,52,91,True,1513290513
39,70,55,28,79,47,44,57,51,20,False,1510499429
17,61,78,112,107,99,13,53,69,28,True,1513474029
11,15,78,107,3,109,12,29,86,103,False,1513555077
57,46,39,51,84,11,19,78,27,86,False,1513364546
41,106,30,51,103,4,22,69,91,3,True,1530543610
10,39,65,27,62,1,92,7,37,107,False,1510420679
39,33,41,68,16,77,9,55,28,31,False,1510412827
34,98,20,60,37,43,78,19,68,27,True,1510696361
15,19,55,16,88,8,13,7,27,100,True,1513199437
25,70,78,64,101,54,74,5,30,71,False,1530706053
17,94,58,51,20,1,54,19,68,84,True,1510675306
12,49,51,100,37,39,18,60,91,85,False,1530461826
44,108,9,103,3,80,70,21,87,89,False,1530722709
93,2,9,75,3,33,49,81,21,85,True,1530277365
74,63,2,84,101,80,25,45,78,3,True,1530284902
72,49,51,107,27,13,81,53,78,62,False,1513188123
34,42,108,100,68,17,48,112,28,88,True,1513372306
1,21,52,51,37,45,9,106,85,30,True,1530987274
12,45,69,21,75,48,52,20,14,30,True,1531066324
19,39,29,107,30,18,49,38,60,87,True,1510588246
34,63,38,14,87,98,39,20,107,112,False,1510311125
18,78,47,86,83,61,19,13,112,84,False,1510603228
76,70,38,51,86,49,108,54,7,27,True,1510308180
1,13,106,7,68,53,46,54,28,112,True,1510531612
12,11,5,51,103,8,4,120,100,3,True,1530290136
95,23,108,51,30,46,12,21,70,87,False,1530632047
15,13,2,16,26,106,93,90,57,7,True,1510535233
10,13,29,88,85,59,46,57,60,84,False,1513270737
92,4,49,20,3,9,106,41,30,103,True,1530376983
74,54,7,65,27,48,39,78,75,83,False,1530650456
44,39,57,16,30,102,43,20,52,107,False,1510409659
48,4,78,5,112,67,22,16,64,89,True,1530803867
48,45,112,69,30,34,72,38,37,103,True,1531147571
20,34,88,28,31,12,13,92,85,26,False,1510406666
72,49,69,112,87,74,12,27,78,51,False,1530646283
15,39,19,78,87,74,54,89,7,3,False,1510414869
99,21,70,89,87,25,9,92,14,26,True,1530894393
12,16,20,32,37,98,39,54,112,51,True,1510795321
12,39,65,112,100,11,58,6,28,107,True,1513443580
46,57,63,86,84,10,61,78,107,3,True,1513542319
48,49,57,60,3,10,39,96,86,84,True,1510599792
34,57,6,100,68,94,19,13,79,51,True,1513307987
22,93,9,19,27,48,21,97,26,71,True,1530295066
44,38,21,100,3,74,9,2,84,101,False,1530471907
44,9,19,51,75,39,54,100,87,84,False,1510485585
114,9,74,51,30,25,77,78,89,21,True,1530727523
46,15,100,58,84,11,9,57,51,86,True,1510874592
17,93,78,84,26,38,34,72,60,86,True,1510437490
48,17,13,68,107,94,49,10,87,85,False,1513196086
80,39,78,85,87,8,25,7,112,51,False,1510524185
12,9,100,112,2,18,39,38,37,91,False,1530548769
74,70,119,20,97,48,39,21,2,87,False,1530288799
46,6,53,30,103,10,18,96,5,50,True,1531247188
74,54,13,16,3,109,102,43,28,86,False,1510626191
8,98,102,107,79,11,19,29,27,62,True,1513207927
76,81,13,71,86,49,4,98,60,26,True,1510315616
72,22,38,5,23,10,77,16,3,66,False,1530359982
47,15,81,84,68,39,18,57,51,87,False,1510622438
94,80,108,107,71,11,6,112,28,51,False,1513294184
17,78,110,77,66,39,95,97,5,30,True,1531152045
106,41,45,51,3,12,11,57,5,88,False,1530371112
106,4,65,85,87,114,9,16,103,3,True,1530280697
48,49,78,89,87,10,23,9,103,30,False,1530731984
114,11,65,110,51,94,54,102,84,20,False,1513278604
8,13,2,101,84,93,45,52,89,100,False,1530564102
39,114,9,107,3,49,13,81,86,83,False,1510322537
17,63,41,51,31,53,106,4,64,16,True,1510447068
34,114,30,2,60,48,61,38,27,16,False,1513563501
12,92,2,101,37,18,39,52,104,5,False,1530538038
80,20,65,16,3,19,93,58,112,86,False,1513211490
70,74,51,79,91,17,72,38,5,103,False,1530982563
34,57,54,112,51,94,20,78,64,16,True,1510495199
67,4,25,112,30,48,17,38,101,111,True,1530363796
53,4,39,71,87,44,55,92,62,107,False,1510416607
8,35,21,19,87,54,47,102,52,5,True,1530556344
80,23,120,22,87,12,25,58,100,30,False,1531138019
34,47,38,60,50,109,43,13,28,30,False,1510707201
4,39,120,112,107,106,21,78,85,100,False,1530457732
28,21,64,114,62,94,40,88,65,31,False,1510402392
94,54,100,85,86,39,12,88,58,28,True,1510788773
49,70,21,100,30,12,25,78,5,75,False,1530991205
34,92,78,5,66,77,9,23,103,30,True,1530532859
10,19,57,86,68,94,13,49,103,79,True,1513381466
61,12,45,51,37,1,13,41,5,30,True,1531237827
23,54,78,22,87,25,12,7,85,86,True,1531051759
70,41,58,21,75,53,10,49,71,30,True,1531254227
94,39,41,79,23,46,12,60,58,20,False,1510585074
61,9,41,68,16,17,80,20,112,107,True,1510345215
95,45,78,75,21,52,77,69,110,107,False,1531157897
13,18,112,51,20,46,61,53,3,16,False,1510513900
54,34,60,68,51,11,89,78,27,79,True,1513385500
40,12,5,96,75,80,52,49,110,107,True,1531224205
94,14,79,100,87,113,13,19,112,62,True,1513389179
18,17,92,16,3,94,34,78,51,87,False,1510491253
10,53,29,100,68,80,106,60,86,103,True,1513192134
15,77,86,7,31,1,47,57,30,51,False,1510508971
72,34,120,111,69,39,12,21,100,85,True,1530385494
48,22,13,64,107,34,20,60,112,7,False,1510397928
4,12,16,119,75,114,106,38,85,5,True,1530815461
4,13,62,91,71,20,9,98,64,107,False,1508666260
82,13,22,114,71,47,95,45,60,87,True,1508592125
9,95,51,86,32,1,36,65,107,87,False,1508586688
9,114,2,68,23,13,18,40,28,3,True,1505856581
4,45,62,71,112,106,59,78,66,107,True,1508413515
113,98,38,68,88,109,76,78,7,20,True,1505930916
54,17,112,107,3,109,9,65,64,16,False,1508674388
109,13,36,86,66,4,40,69,31,107,False,1508599790
73,40,45,111,107,74,114,9,7,3,True,1505842853
18,39,45,64,88,20,92,9,75,107,False,1508509978
36,56,55,50,71,76,53,108,75,86,True,1506048468
114,80,64,65,7,1,13,4,27,107,True,1508605526
45,63,7,88,3,49,47,41,86,68,False,1505847863
12,92,104,68,71,13,95,53,107,50,False,1505858901
1,40,108,50,7,73,53,38,60,31,True,1505870147
38,54,114,68,7,63,72,65,107,31,True,1505844401
66,41,97,63,107,34,78,45,7,64,True,1508504943
114,47,36,111,7,15,56,27,60,88,False,1505849340
4,40,86,7,32,48,43,53,64,107,True,1508569304
35,41,51,32,101,40,76,57,16,27,True,1505914419
53,106,6,88,111,36,77,61,71,3,False,1505922680
18,40,29,91,32,77,98,38,64,86,True,1508574276
76,13,77,71,68,53,106,66,114,107,False,1506355402
17,36,114,16,31,18,40,65,91,112,False,1508420267
9,12,60,51,75,1,36,45,64,71,True,1508518595
8,39,97,7,64,18,36,53,86,88,True,1506035974
114,13,65,71,50,8,16,4,45,31,True,1506137802
44,61,13,88,112,1,15,92,7,31,True,1508659267
61,40,60,107,87,18,47,13,68,23,True,1505837080
18,45,29,60,68,15,64,38,28,50,True,1506042809
18,36,51,71,65,12,45,69,31,88,True,1505918183
35,36,45,23,31,4,61,57,107,30,True,1508493591
9,1,65,7,68,54,39,40,31,107,False,1505844548
